claim_id,site_year,claim,narrated_value,saved_front_value,scenario_table_value,site_traced_to,corrected_front_consistent_value,anomaly_type
G15-range,Gimje 2015,Pareto front irrigation+yield range,"0-287 mm; 3.856-7.168 t/ha","35.3-267.2 mm; 4.475-7.179 t/ha","rainfed irr 0/yield 3.856; full_SMT80 irr 286.9/yield 7.168",CONFIRMED Gimje,"front range 35.3-267.2 mm; 4.475-7.179 t/ha",SCENARIO_EXTREMA_MIXED_INTO_FRONT_RANGE
G15-bestwp,Gimje 2015,best-WP solution,"SMT=40 MaxIrr=39.5 yield=6.2 irr=116.2 WP=1.195","SMT=40.0 MaxIrr=39.5 yield=6.200 irr=116.2 WP=1.195",n/a,CONFIRMED Gimje,"matches saved front (no change)",NONE
G19-range,Gimje 2019,Pareto front irrigation+yield range,"0-212.8 mm; 6.142-7.332 t/ha","0.0-212.8 mm; 6.142-7.332 t/ha","rainfed 6.142; max 7.332",CONFIRMED Gimje,"matches (no change)",NONE
G19-bestwp,Gimje 2019,best-WP + max-yield solution,"best-WP SMT=40.1 MaxIrr=16.5 yield=6.740 irr=49.4 WP=0.930; max-yield 7.332/212.8","SMT=40.1 MaxIrr=16.5 yield=6.740 irr=49.4 WP=0.930; max 7.332/212.8",n/a,CONFIRMED Gimje,"matches saved front (no change)",NONE
H15-range,Hampyeong 2015,Pareto front irrigation range,"0-138.4 mm","0.0-138.4 mm",n/a,CONFIRMED Hampyeong,"matches (no change)",NONE
H15-bestwp,Hampyeong 2015,best-WP solution,"SMT=57.7 MaxIrr=25 yield=6.4 irr=61.9 WP=1.088","SMT=57.7 MaxIrr=12.4 yield=6.961 irr=61.9 WP=1.088",n/a,CONFIRMED Hampyeong,"SMT=57.7 MaxIrr=12.4 yield=6.961 irr=61.9 WP=1.088",FRONT_ROW_VALUE_MISQUOTED (MaxIrr 25 vs 12.4; yield 6.4 vs 6.961)
H22-range,Hampyeong 2022,Pareto front irrigation range,"0-99.3 mm","0.0-99.3 mm",n/a,CONFIRMED Hampyeong,"matches (no change)",NONE
H22-bestwp,Hampyeong 2022,best-WP solution,"SMT=54 MaxIrr=30 yield=7.233 irr=0.0 WP=1.000","SMT=54.0 MaxIrr=30.0 yield=7.295 irr=0.0 WP=1.008","hampyeong 2022 rainfed/deficit_SMT50 yield=7.233 WP=1.000",CONFIRMED Hampyeong,"front row yield=7.295 WP=1.008 (or explicitly label 7.233/1.000 as the scenario-table value, not the front row)",SCENARIO_VALUE_MIXED_INTO_FRONT_ROW
AGG-smtband,all four,best-WP SMT band,"SMT 40-60% range","best-WP SMTs: 40.0 / 40.1 / 57.7 / 54.0 (all in 40-60)",n/a,CONFIRMED (all four),"claim holds for best-WP POINTS; note within-2%-maxWP bands are wider (G19 25.6-60.5; H15 32.6-66.2; H22 50.4-66.6)",NONE_BUT_SCOPE_NOTE
FIX-settings,all four,optimizer fixed settings,"pop=30 gen=30 SMT 10-90% MaxIrr 10-80 mm f1=-yield f2=irrigation","each saved front has 30 rows (final population); pop=30 consistent; NO save_history/hypervolume saved",n/a,n/a,"pop=30 x gen=30 = 900 evals; report as documented settings; do NOT fabricate convergence/hypervolume",DATA_ONLY_NO_HISTORY
